Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
12-Jun,0.1253,0.1474,0.2002,0.2427,0.05097,0.3826,0.1431,0.1781
12-Jul,0.09236,0.1522,0.3913,0.2907,0.06763,0.2389,0.3697,0.2082
12-Aug,0.06146,0.09477,0.3989,0.2183,0.0481,0.198,0.4501,0.1548
12-Sep,0.09453,0.08314,0.2893,0.2026,0.147,0.2737,0.3025,0.1179
12-Oct,0.162,0.09849,0.1024,0.2928,0.1664,0.1535,0.07003,0.05614
12-Nov,0.1306,0.09366,0.04906,0.4256,0.2099,0.2213,0.08715,0.05749
12-Dec,0.1645,0.147,0.02369,0.4778,0.09918,0.2029,0.1067,0.03341
13-Jan,0.1262,0.1002,0.0201,0.4311,0.1363,0.1259,0.05308,0.01797
13-Feb,0.1123,0.08981,0.06172,0.4698,0.1436,0.1558,0.07567,0.03537
13-Mar,0.1353,0.0593,0.02786,0.3481,0.2022,0.1335,0.07526,0.05132
13-Apr,0.129,0.07274,0.05334,0.4594,0.1253,0.2126,0.1122,0.07837
13-May,0.1756,0.1869,0.09887,0.3971,0.1681,0.1293,0.1582,0.1303
